07 - 08	161,63	208,16	180,94	170,58	70,08	54,67	113,02	121,20
08 - 09	163,08	190,50	201,67	195,00	75,55	63,78	112,55	129,30
09 - 10	150,91	153,74	173,37	155,64	66,09	63,23	99,92	110,00
10 - 11	140,71	134,44	131,56	138,77	54,95	52,86	89,98	90,66
11 - 12	137,10	122,24	112,02	115,68	60,52	52,24	95,11	80,35
12 - 13	117,41	113,16	113,66	87,65	74,08	43,39	59,02	65,27
13 - 14	107,42	113,10	108,99	91,88	31,83	41,59	32,97	28,50
14 - 15	108,85	113,23	107,31	71,56	17,52	35,41	56,00	9,53
15 - 16	108,87	112,96	108,71	78,91	22,24	37,18	44,28	17,77
16 - 17	109,87	116,45	112,73	82,00	31,13	42,95	7,68	39,62
17 - 18	121,41	135,53	122,00	100,35	41,74	57,69	75,65	76,26
18 - 19	140,00	156,48	147,10	133,77	100,41	90,58	97,60	99,71
19 - 20	150,10	199,56	180,00	158,11	130,00	94,67	108,85	121,36
20 - 21	144,90	191,58	177,32	165,33	132,81	97,03	111,74	120,55
21 - 22	138,99	164,98	156,10	151,85	124,65	82,58	98,83	103,28
22 - 23	127,45	151,39	141,40	131,95	121,61	81,09	86,73	100,77
23 - 00	122,88	139,13	129,76	113,12	110,02	68,02	80,00	90,76

00 - 01	118,09	97,23	96,80	23,58	98,21	127,99	126,24	116,61
01 - 02	112,80	85,09	82,89	1,41	81,85	117,86	115,07	110,43
02 - 03	116,54	80,19	72,73	0,94	78,14	119,83	115,33	113,79
03 - 04	112,80	72,86	66,47	1,09	71,90	117,99	110,75	115,33
04 - 05	113,14	72,89	67,77	6,11	70,00	118,24	110,78	112,02
05 - 06	127,40	84,80	80,39	36,41	72,96	117,86	112,16	111,23
06 - 07	144,74	106,89	110,02	96,96	80,00	120,00	116,14	132,87
07 - 08	171,67	128,09	127,24	130,97	78,14	118,90	129,35	141,45
08 - 09	175,67	152,06	136,41	142,13	70,00	122,98	135,01	143,03
09 - 10	151,62	145,78	131,99	123,35	55,13	112,21	132,10	143,32
10 - 11	140,80	109,09	120,00	118,62	27,75	100,00	114,41	124,50
11 - 12	126,10	115,23	111,56	103,30	20,53	87,00	106,78	116,74
12 - 13	109,77	109,21	100,80	110,65	15,52	81,96	98,45	105,48
13 - 14	105,33	104,05	97,36	105,53	1,50	60,01	93,42	100,72
14 - 15	106,62	104,66	97,62	97,76	-0,01	55,00	88,92	102,26
15 - 16	105,97	108,30	97,07	92,82	-0,03	56,00	92,16	100,22
16 - 17	104,72	102,39	100,34	55,76	0,81	74,00	97,90	106,42
17 - 18	118,90	112,34	109,80	85,47	20,02	86,35	106,40	114,00
18 - 19	138,16	130,91	128,45	130,80	54,41	115,20	121,23	128,16
19 - 20	151,90	169,73	138,52	162,46	80,19	129,97	136,15	143,17
20 - 21	152,71	178,87	130,85	165,38	85,00	133,46	140,21	150,11
21 - 22	152,09	159,95	120,75	141,39	84,40	126,39	137,31	143,35
22 - 23	135,23	139,89	109,30	130,80	89,70	115,00	134,90	139,50
23 - 00	120,29	134,00	97,95	111,00	67,21	106,94	126,98	135,96

00 - 01	122,01	122,50	100,19	108,72	105,31	114,75	111,55	123,90
01 - 02	101,95	107,21	94,35	97,54	102,07	111,14	103,49	112,00
02 - 03	103,57	116,35	96,76	99,92	101,10	108,96	102,68	114,38
03 - 04	93,17	109,39	94,98	98,95	101,29	110,14	101,09	108,00
04 - 05	91,33	101,39	97,18	101,33	100,55	110,00	102,63	105,14
05 - 06	96,03	112,56	102,78	105,87	101,27	114,61	103,50	103,55
06 - 07	99,82	127,50	127,97	130,00	127,00	140,68	103,50	105,56
07 - 08	106,95	141,54	144,48	139,10	140,27	178,70	103,37	104,85
08 - 09	109,18	147,12	144,70	141,40	154,88	199,51	110,43	106,21
09 - 10	107,28	148,95	130,09	133,67	133,99	163,14	114,68	102,24
10 - 11	77,61	128,13	108,33	108,26	106,21	137,40	111,04	100,10
11 - 12	73,31	109,29	96,94	97,26	104,35	117,48	107,83	93,94
12 - 13	51,00	105,92	94,23	100,18	99,01	105,18	104,05	87,84
13 - 14	34,84	105,70	89,61	103,39	88,69	104,20	98,16	84,98
14 - 15	22,56	100,80	88,71	97,12	89,11	96,96	94,83	85,47
15 - 16	44,73	90,80	86,76	88,68	82,28	96,14	94,37	76,43
16 - 17	79,94	77,30	92,09	88,58	83,81	96,73	96,15	82,95
17 - 18	95,00	97,87	103,76	89,64	94,81	100,99	101,09	98,81
18 - 19	112,97	123,54	128,99	106,61	108,21	122,33	115,21	112,66
19 - 20	132,00	141,00	142,64	122,25	130,46	143,61	132,88	132,79
20 - 21	130,65	144,93	147,42	135,86	137,10	142,78	140,00	134,51
21 - 22	127,00	135,51	145,33	122,82	138,62	134,25	135,00	127,80
22 - 23	110,10	133,71	132,25	109,90	128,32	122,82	129,97	127,71
23 - 00	101,64	123,10	127,72	101,66	111,41	109,16	125,35	119,30

00 - 01	99,28	115,59	102,03	107,11	106,79	107,60	87,70	108,00
01 - 02	91,09	108,56	92,97	100,21	99,91	98,22	83,58	97,52
02 - 03	88,38	106,10	90,35	97,70	94,58	95,49	82,09	95,02
03 - 04	85,49	105,00	83,07	96,24	93,98	91,92	76,40	89,44
04 - 05	74,93	101,24	92,00	97,25	93,33	91,75	75,08	86,67
05 - 06	75,07	102,75	95,85	106,80	101,90	97,35	86,55	88,87
06 - 07	84,62	103,24	110,00	123,39	125,16	121,60	114,60	90,00
07 - 08	82,00	109,40	123,74	142,58	139,91	134,10	133,80	94,01
08 - 09	75,00	115,64	126,38	135,41	145,13	134,93	135,00	93,53
09 - 10	50,00	106,61	120,28	113,18	128,85	122,40	126,92	89,95
10 - 11	27,70	103,58	112,81	96,99	126,54	110,00	110,81	79,67
11 - 12	30,96	92,87	105,83	92,50	116,77	99,00	108,01	48,13
12 - 13	48,39	82,23	101,72	94,00	110,01	102,38	98,07	35,37
13 - 14	23,67	82,17	92,78	91,00	103,27	96,91	94,90	9,98
14 - 15	14,66	66,20	89,85	88,74	104,60	91,33	87,00	4,87
15 - 16	1,50	69,05	86,79	88,31	92,85	90,52	84,91	34,69
16 - 17	14,00	80,00	90,57	90,36	98,20	89,23	88,21	64,10
17 - 18	70,57	85,00	91,63	100,89	113,60	95,00	99,45	97,81
18 - 19	90,15	100,10	112,00	120,64	129,87	120,04	117,58	109,72
19 - 20	98,02	115,32	120,34	128,75	148,11	140,27	134,57	107,64
20 - 21	118,85	114,34	126,00	129,80	154,97	144,16	135,97	109,40
21 - 22	122,20	120,00	124,34	124,42	146,12	141,54	135,71	125,02
22 - 23	117,12	115,57	116,71	118,61	133,54	137,53	128,37	116,95
23 - 00	108,71	110,00	105,48	100,03	120,48	120,00	119,15	109,84

00 - 01	98,24	106,78	106,71	91,50	86,00	107,65	98,48	109,90
01 - 02	88,58	95,02	99,62	81,80	79,61	102,63	85,60	99,90
02 - 03	87,23	90,00	95,71	78,49	79,81	100,97	83,30	95,49
03 - 04	84,01	84,30	91,70	79,51	78,39	97,80	80,90	90,59
04 - 05	84,16	83,71	89,93	78,49	76,03	85,55	81,22	87,40
05 - 06	90,91	84,86	91,70	87,52	82,20	91,38	90,39	88,00
06 - 07	93,96	85,08	97,20	101,22	79,92	102,00	111,06	87,38
